電腦編號,ip,學生證號,卡號,開始時間,離開時間,時數
03W,140.119.49.38,103255001,00A663260D,07-Jan-15 09:10:53,07-Jan-15 09:16:41,   0小時06分鐘
44I,140.119.187.144,102461006,0010744E79,07-Jan-15 09:13:02,07-Jan-15 11:13:39,   2小時00分鐘
07W,140.119.49.34,101203034,002B4FC6B3,07-Jan-15 09:13:20,07-Jan-15 09:17:40,   0小時04分鐘
10R,140.119.129.69,99401068,003C4E64BE,07-Jan-15 09:13:33,07-Jan-15 09:31:52,   0小時18分鐘
04R,140.119.129.58,103258020,00B68F250D,07-Jan-15 09:13:59,07-Jan-15 09:14:01,   0小時00分鐘
06V,140.119.72.51,103303090,0006B48D0C,07-Jan-15 09:14:08,07-Jan-15 09:27:16,   0小時13分鐘
04W,140.119.49.39,103255032,00C6F58B0C,07-Jan-15 09:14:09,07-Jan-15 09:16:51,   0小時03分鐘
04R,140.119.129.58,103258020,00B68F250D,07-Jan-15 09:14:10,07-Jan-15 09:14:19,   0小時00分鐘
04R,140.119.129.58,103258020,00B68F250D,07-Jan-15 09:14:32,07-Jan-15 09:17:19,   0小時03分鐘
40R,140.119.129.94,H12384091100,00CE3254C1,07-Jan-15 09:14:40,07-Jan-15 10:20:20,   1小時05分鐘
15R,140.119.129.64,103601214,00BB988437,07-Jan-15 09:14:48,07-Jan-15 11:14:59,   2小時00分鐘
07P,140.119.163.137,102703040,0070066E77,07-Jan-15 09:14:51,07-Jan-15 11:08:18,   1小時53分鐘
08R,140.119.129.62,99506030,0010D4513E,07-Jan-15 09:15:40,07-Jan-15 09:52:06,   0小時36分鐘
40O,140.119.73.94,100304043,00BB6ACBB3,07-Jan-15 09:15:42,07-Jan-15 09:20:57,   0小時05分鐘
11W,140.119.49.30,100207302,0056B0B20B,07-Jan-15 09:16:18,07-Jan-15 11:36:24,   2小時20分鐘
02R,140.119.129.56,103301021,0036D34611,07-Jan-15 09:16:45,07-Jan-15 09:23:23,   0小時06分鐘
05R,140.119.129.59,103258020,00B68F250D,07-Jan-15 09:17:23,07-Jan-15 09:23:36,   0小時06分鐘
13Y,140.119.66.13,102701013,00602AE177,07-Jan-15 09:17:35,07-Jan-15 10:06:48,   0小時49分鐘
07W,140.119.49.34,101601175,0060F1EB77,07-Jan-15 09:18:56,07-Jan-15 09:24:32,   0小時05分鐘
01W,140.119.49.108,102258038,00B0DF6777,07-Jan-15 09:19:45,07-Jan-15 09:46:03,   0小時26分鐘
12W,140.119.49.155,E22429567900,00CA012D07,07-Jan-15 09:20:34,07-Jan-15 09:28:55,   0小時08分鐘
07V,140.119.72.53,100203017,002BD3C6B3,07-Jan-15 09:23:17,07-Jan-15 10:18:03,   0小時54分鐘
06R,140.119.129.60,103926028,0020DA0579,07-Jan-15 09:26:35,07-Jan-15 11:26:43,   2小時00分鐘
09V,140.119.72.52,102358015,00F091E277,07-Jan-15 09:27:23,07-Jan-15 09:28:17,   0小時01分鐘
01R,140.119.129.67,101701039,00A0C6EC77,07-Jan-15 09:28:09,07-Jan-15 10:00:28,   0小時32分鐘
25Y,140.119.66.25,100701036,00AB7FC6B3,07-Jan-15 09:28:21,07-Jan-15 09:55:01,   0小時26分鐘
12V,140.119.72.57,102358015,00F091E277,07-Jan-15 09:28:25,07-Jan-15 09:33:28,   0小時04分鐘
61B,140.119.41.161,101601092,0020C45835,07-Jan-15 09:28:28,07-Jan-15 09:56:29,   0小時28分鐘
38B,140.119.41.138,101404005,0080A85735,07-Jan-15 09:29:01,07-Jan-15 10:28:50,   1小時00分鐘
17Y,140.119.66.17,99701008,008CA4BAE4,07-Jan-15 09:29:18,07-Jan-15 11:58:27,   2小時29分鐘
03R,140.119.129.57,103651003,002695CF0C,07-Jan-15 09:29:23,07-Jan-15 09:29:30,   0小時00分鐘
03R,140.119.129.57,103651003,002695CF0C,07-Jan-15 09:30:19,07-Jan-15 10:06:36,   0小時36分鐘
07W,140.119.49.34,102208066,00BBE5958A,07-Jan-15 09:31:45,07-Jan-15 09:39:10,   0小時07分鐘
09V,140.119.72.52,103351023,00A6F4250D,07-Jan-15 09:32:16,07-Jan-15 09:34:06,   0小時01分鐘
06V,140.119.72.51,103351006,00C61E250D,07-Jan-15 09:32:31,07-Jan-15 12:28:41,   2小時56分鐘
04V,140.119.72.61,102358015,00F091E277,07-Jan-15 09:33:30,07-Jan-15 09:39:15,   0小時06分鐘
67P,140.119.163.197,101703042,0080665435,07-Jan-15 09:33:34,07-Jan-15 11:08:18,   1小時34分鐘
04W,140.119.49.39,98256033,00EE197834,07-Jan-15 09:33:42,07-Jan-15 09:46:32,   0小時12分鐘
03W,140.119.49.38,102207346,00409DE277,07-Jan-15 09:33:54,07-Jan-15 09:54:55,   0小時21分鐘
08V,140.119.72.56,103351023,00A6F4250D,07-Jan-15 09:34:14,07-Jan-15 12:53:28,   3小時19分鐘
02R,140.119.129.56,CC0375,00620B5D60,07-Jan-15 09:34:27,07-Jan-15 09:51:01,   0小時16分鐘
14W,140.119.49.,103203019,001606B30B,07-Jan-15 09:36:11,07-Jan-15 09:41:52,   0小時05分鐘
04R,140.119.129.58,102207320,00E0B96D77,07-Jan-15 09:36:16,07-Jan-15 10:35:32,   0小時59分鐘
65P,140.119.163.195,101703031,0016C48C0C,07-Jan-15 09:36:50,07-Jan-15 11:08:18,   1小時31分鐘
66B,140.119.41.166,100265501,009B62C6B3,07-Jan-15 09:44:28,07-Jan-15 09:45:23,   0小時01分鐘
67B,140.119.41.167,100265501,009B62C6B3,07-Jan-15 09:45:29,07-Jan-15 09:50:18,   0小時04分鐘
12R,140.119.129.71,100205085,009B00C8B3,07-Jan-15 09:45:36,07-Jan-15 10:01:52,   0小時16分鐘
13W,140.119.49.126,101206024,0080AFAD48,07-Jan-15 09:46:43,07-Jan-15 09:56:43,   0小時10分鐘
13V,140.119.72.72,103305153,00BB629237,07-Jan-15 09:47:23,07-Jan-15 10:12:52,   0小時25分鐘
12A,140.119.26.12,102204040,00607C7578,07-Jan-15 09:47:51,07-Jan-15 11:39:49,   1小時52分鐘
12B,140.119.41.112,100101055,002BBAC7B3,07-Jan-15 09:48:00,07-Jan-15 10:12:17,   0小時24分鐘
04W,140.119.49.39,98256033,00EE197834,07-Jan-15 09:48:14,07-Jan-15 11:16:15,   1小時28分鐘
13R,140.119.129.55,102102054,002665250D,07-Jan-15 09:48:23,07-Jan-15 09:57:11,   0小時09分鐘
20R,140.119.129.74,102153003,00D0AC6977,07-Jan-15 09:49:22,07-Jan-15 10:44:36,   0小時55分鐘
10R,140.119.129.69,103405110,0066178D0C,07-Jan-15 09:49:37,07-Jan-15 09:55:31,   0小時06分鐘
05R,140.119.129.59,100103001,002B6E9A8A,07-Jan-15 09:50:06,07-Jan-15 09:54:38,   0小時04分鐘
12W,140.119.49.155,101206021,003EFF9BDD,07-Jan-15 09:50:07,07-Jan-15 10:10:27,   0小時20分鐘
24R,140.119.129.78,98102058,006681B20B,07-Jan-15 09:50:31,07-Jan-15 10:05:34,   0小時15分鐘
01W,140.119.49.108,102202042,007078AE48,07-Jan-15 09:51:21,07-Jan-15 10:05:36,   0小時14分鐘
55B,140.119.41.155,103501022,00965C660C,07-Jan-15 09:51:47,07-Jan-15 10:26:57,   0小時35分鐘
26B,140.119.41.126,100308002,002BA4C6B3,07-Jan-15 09:52:36,07-Jan-15 11:40:09,   1小時47分鐘
31R,140.119.129.85,100101038,00504A5835,07-Jan-15 09:53:09,07-Jan-15 10:20:15,   0小時27分鐘
09W,140.119.49.32,100207431,009CFF1F38,07-Jan-15 09:53:49,07-Jan-15 10:00:00,   0小時06分鐘
27R,140.119.129.81,102703027,0040E14F79,07-Jan-15 09:54:00,07-Jan-15 09:58:29,   0小時04分鐘
22R,140.119.129.76,102302052,00A0F55435,07-Jan-15 09:54:06,07-Jan-15 09:57:24,   0小時03分鐘
58B,140.119.41.158,100504032,0020996431,07-Jan-15 09:55:04,07-Jan-15 11:40:04,   1小時45分鐘
35B,140.119.41.135,103203012,00F6D98C0C,07-Jan-15 09:56:39,07-Jan-15 10:10:01,   0小時13分鐘
07W,140.119.49.34,103601063,0066B3250D,07-Jan-15 09:57:51,07-Jan-15 10:28:37,   0小時30分鐘
31B,140.119.41.131,102203015,0090389E48,07-Jan-15 09:57:52,07-Jan-15 10:16:08,   0小時18分鐘
13W,140.119.49.126,101208044,0080477B31,07-Jan-15 09:59:27,07-Jan-15 10:03:34,   0小時04分鐘
05R,140.119.129.59,101652026,00C0097A31,07-Jan-15 10:00:11,07-Jan-15 10:14:12,   0小時13分鐘
14W,140.119.49.,101601102,004633240D,07-Jan-15 10:00:15,07-Jan-15 10:04:18,   0小時04分鐘
48B,140.119.41.148,100203041,00F0177678,07-Jan-15 10:00:55,07-Jan-15 13:12:34,   3小時11分鐘
44B,140.119.41.144,100501016,00902EE177,07-Jan-15 10:02:14,07-Jan-15 12:14:40,   2小時12分鐘
25B,140.119.41.125,101509205,0000C34A35,07-Jan-15 10:02:59,07-Jan-15 10:05:05,   0小時02分鐘
03W,140.119.49.38,102601096,00208A0379,07-Jan-15 10:03:08,07-Jan-15 10:05:42,   0小時02分鐘
S2R,140.119.129.114,103501014,00B6FEB10B,07-Jan-15 10:03:46,07-Jan-15 10:10:34,   0小時06分鐘
14V,140.119.72.49,102151006,00A0046977,07-Jan-15 10:04:37,07-Jan-15 10:13:44,   0小時09分鐘
01R,140.119.129.67,101301028,0020DAEA77,07-Jan-15 10:05:48,07-Jan-15 10:11:08,   0小時05分鐘
09W,140.119.49.32,102601096,00208A0379,07-Jan-15 10:05:50,07-Jan-15 10:09:06,   0小時03分鐘
10V,140.119.72.54,100307016,003B6DC6B3,07-Jan-15 10:05:56,07-Jan-15 10:08:10,   0小時02分鐘
61B,140.119.41.161,102506015,0060139164,07-Jan-15 10:06:53,07-Jan-15 11:47:47,   1小時40分鐘
13W,140.119.49.126,103208008,0046DD260D,07-Jan-15 10:07:12,07-Jan-15 10:14:11,   0小時07分鐘
14W,140.119.49.,103266002,008623AE0C,07-Jan-15 10:07:31,07-Jan-15 10:11:40,   0小時04分鐘
12V,140.119.72.57,100307016,003B6DC6B3,07-Jan-15 10:08:15,07-Jan-15 10:19:05,   0小時10分鐘
02R,140.119.129.56,103203038,0086F1250D,07-Jan-15 10:09:13,07-Jan-15 10:16:04,   0小時06分鐘
35I,140.119.187.135,101403007,0040A6E277,07-Jan-15 10:09:34,07-Jan-15 10:16:23,   0小時06分鐘
30R,140.119.129.84,102206032,00B01B4F79,07-Jan-15 10:09:36,07-Jan-15 11:57:57,   1小時48分鐘
68B,140.119.41.168,100205060,00C0847578,07-Jan-15 10:09:38,07-Jan-15 11:39:20,   1小時30分鐘
51B,140.119.41.151,101304030,0010BF693E,07-Jan-15 10:09:39,07-Jan-15 11:14:53,   1小時05分鐘
08R,140.119.129.62,102301060,0090CE5835,07-Jan-15 10:10:10,07-Jan-15 10:20:27,   0小時10分鐘
09R,140.119.129.68,102103015,0030BC533E,07-Jan-15 10:10:14,07-Jan-15 11:53:50,   1小時43分鐘
18R,140.119.129.72,100305047,002B76CBB3,07-Jan-15 10:10:31,07-Jan-15 10:32:47,   0小時22分鐘
10R,140.119.129.69,103501014,00B6FEB10B,07-Jan-15 10:10:52,07-Jan-15 10:19:43,   0小時09分鐘
41D,140.119.29.41,102205075,00304BEB77,07-Jan-15 10:11:16,07-Jan-15 10:42:19,   0小時31分鐘
08W,140.119.49.31,100207341,006B24C7B3,07-Jan-15 10:11:57,07-Jan-15 10:12:19,   0小時00分鐘
01W,140.119.49.108,100207341,006B24C7B3,07-Jan-15 10:12:24,07-Jan-15 10:15:22,   0小時03分鐘
11R,140.119.129.70,103102029,0096324711,07-Jan-15 10:12:34,07-Jan-15 12:12:44,   2小時00分鐘
14W,140.119.49.,103101026,00F68A0D07,07-Jan-15 10:13:11,07-Jan-15 10:21:28,   0小時08分鐘
33I,140.119.187.133,102401038,00C0DF9164,07-Jan-15 10:13:17,07-Jan-15 12:47:07,   2小時33分鐘
03W,140.119.49.38,101509215,0030C3EA77,07-Jan-15 10:13:19,07-Jan-15 10:21:38,   0小時08分鐘
34R,140.119.129.88,103601111,00369BB20B,07-Jan-15 10:13:33,07-Jan-15 11:08:30,   0小時55分鐘
05W,140.119.49.36,101601183,00A6F6220D,07-Jan-15 10:14:48,07-Jan-15 10:38:54,   0小時24分鐘
24N,140.119.55.195,103207405,00A6BC650C,07-Jan-15 10:14:48,07-Jan-15 12:06:02,   1小時51分鐘
05R,140.119.129.59,99509304,00EC1D60BE,07-Jan-15 10:14:52,07-Jan-15 10:34:43,   0小時19分鐘
07R,140.119.129.61,99509302,007E9E7F38,07-Jan-15 10:14:58,07-Jan-15 10:20:36,   0小時05分鐘
22R,140.119.129.76,103304028,002682E633,07-Jan-15 10:15:05,07-Jan-15 10:23:32,   0小時08分鐘
13R,140.119.129.55,101401022,0080E2EA77,07-Jan-15 10:15:25,07-Jan-15 11:58:17,   1小時42分鐘
09A,140.119.26.9,100102006,000B8DC6B3,07-Jan-15 10:15:43,07-Jan-15 10:16:51,   0小時01分鐘
69Y,140.119.66.69,102701016,00CBCA958A,07-Jan-15 10:16:46,07-Jan-15 12:33:11,   2小時16分鐘
23R,140.119.129.77,101102005,00935B46E3,07-Jan-15 10:17:30,07-Jan-15 10:33:55,   0小時16分鐘
13A,140.119.26.13,100102006,000B8DC6B3,07-Jan-15 10:17:41,07-Jan-15 10:33:20,   0小時15分鐘
24R,140.119.129.78,103601215,000BB38437,07-Jan-15 10:17:41,07-Jan-15 10:17:45,   0小時00分鐘
24R,140.119.129.78,103601215,000BB38437,07-Jan-15 10:17:52,07-Jan-15 10:49:56,   0小時31分鐘
11D,140.119.29.11,101102006,00200C5735,07-Jan-15 10:18:13,07-Jan-15 12:14:36,   1小時56分鐘
18A,140.119.26.18,101208064,0070987731,07-Jan-15 10:18:21,07-Jan-15 10:18:42,   0小時00分鐘
56N,140.119.55.229,103207431,00762A650C,07-Jan-15 10:18:23,07-Jan-15 12:14:57,   1小時56分鐘
57N,140.119.55.230,103207401,00A634660C,07-Jan-15 10:18:37,07-Jan-15 10:38:55,   0小時20分鐘
02R,140.119.129.56,101305029,00869F230D,07-Jan-15 10:18:59,07-Jan-15 10:28:05,   0小時09分鐘
18A,140.119.26.18,101208064,0070987731,07-Jan-15 10:19:09,07-Jan-15 10:30:02,   0小時10分鐘
04V,140.119.72.61,100307016,003B6DC6B3,07-Jan-15 10:19:11,07-Jan-15 10:23:34,   0小時04分鐘
33N,140.119.55.205,103207440,00E6828C0C,07-Jan-15 10:20:55,07-Jan-15 12:06:09,   1小時45分鐘
41N,140.119.55.213,103207443,00769D240D,07-Jan-15 10:21:08,07-Jan-15 10:41:09,   0小時19分鐘
40N,140.119.55.212,103207409,00D673230D,07-Jan-15 10:21:11,07-Jan-15 20:33:12,  10小時12分鐘
30N,140.119.55.202,103207402,00A675230D,07-Jan-15 10:21:30,07-Jan-15 10:23:41,   0小時02分鐘
14W,140.119.49.,101509215,0030C3EA77,07-Jan-15 10:21:47,07-Jan-15 10:31:10,   0小時09分鐘
13B,140.119.41.113,101101081,00C0C66231,07-Jan-15 10:21:49,07-Jan-15 12:11:16,   1小時49分鐘
11B,140.119.41.111,103161009,0056388C0C,07-Jan-15 10:22:30,07-Jan-15 12:53:10,   2小時30分鐘
01W,140.119.49.108,100205005,00EBD0C7B3,07-Jan-15 10:22:36,07-Jan-15 10:27:06,   0小時04分鐘
01R,140.119.129.67,100303034,00CB07C8B3,07-Jan-15 10:23:05,07-Jan-15 10:36:49,   0小時13分鐘
31N,140.119.55.203,103207402,00A675230D,07-Jan-15 10:23:47,07-Jan-15 12:05:37,   1小時42分鐘
37C,140.119.27.37,100302023,008B7BC7B3,07-Jan-15 10:24:19,07-Jan-15 11:59:30,   1小時35分鐘
36C,140.119.27.36,100302025,009B7BC7B3,07-Jan-15 10:24:30,07-Jan-15 11:59:25,   1小時34分鐘
40R,140.119.129.94,103101011,001636260D,07-Jan-15 10:26:05,07-Jan-15 10:26:34,   0小時00分鐘
40R,140.119.129.94,103101011,001636260D,07-Jan-15 10:26:46,07-Jan-15 10:28:47,   0小時01分鐘
50N,140.119.55.223,103207424,00263A250D,07-Jan-15 10:26:51,07-Jan-15 11:02:43,   0小時36分鐘
21R,140.119.129.75,102102011,00F0475735,07-Jan-15 10:27:28,07-Jan-15 13:47:01,   3小時19分鐘
42N,140.119.55.214,102104004,0090466E77,07-Jan-15 10:28:28,07-Jan-15 11:11:42,   0小時43分鐘
12W,140.119.49.155,102403014,0010329264,07-Jan-15 10:28:35,07-Jan-15 11:05:20,   0小時36分鐘
07W,140.119.49.34,103601063,0066B3250D,07-Jan-15 10:28:53,07-Jan-15 10:39:41,   0小時10分鐘
40R,140.119.129.94,103101011,001636260D,07-Jan-15 10:28:53,07-Jan-15 13:25:12,   2小時56分鐘
38R,140.119.129.92,100301063,0060D7E277,07-Jan-15 10:29:16,07-Jan-15 10:36:38,   0小時07分鐘
35R,140.119.129.89,103509206,00B623AE0C,07-Jan-15 10:30:01,07-Jan-15 13:54:33,   3小時24分鐘
04V,140.119.72.61,100307004,00204E7C31,07-Jan-15 10:30:37,07-Jan-15 10:40:22,   0小時09分鐘
36N,140.119.55.208,103207412,00A67B230D,07-Jan-15 10:31:20,07-Jan-15 12:08:48,   1小時37分鐘
33B,140.119.41.133,100153008,007BF1C7B3,07-Jan-15 10:32:33,07-Jan-15 12:37:27,   2小時04分鐘
56B,140.119.41.156,103102038,009648240D,07-Jan-15 10:33:00,07-Jan-15 12:53:05,   2小時19分鐘
31R,140.119.129.85,100101052,00B090CB48,07-Jan-15 10:36:17,07-Jan-15 10:42:37,   0小時06分鐘
02R,140.119.129.56,102207320,00E0B96D77,07-Jan-15 10:37:05,07-Jan-15 11:18:38,   0小時41分鐘
10A,140.119.26.10,100304039,003614230D,07-Jan-15 10:37:10,07-Jan-15 10:57:09,   0小時19分鐘
19R,140.119.129.73,96153509,00DAF49481,07-Jan-15 10:37:13,07-Jan-15 10:52:04,   0小時15分鐘
16R,140.119.129.65,100702045,005BFDC5B3,07-Jan-15 10:37:20,07-Jan-15 10:42:15,   0小時04分鐘
14W,140.119.49.,101601183,00A6F6220D,07-Jan-15 10:39:02,07-Jan-15 11:06:26,   0小時27分鐘
07V,140.119.72.53,100307021,008B79C6B3,07-Jan-15 10:39:13,07-Jan-15 13:27:15,   2小時48分鐘
01A,140.119.26.1,100303013,00AB53C7B3,07-Jan-15 10:39:52,07-Jan-15 10:44:42,   0小時04分鐘
13V,140.119.72.72,103302001,00F6D24611,07-Jan-15 10:41:18,07-Jan-15 12:01:57,   1小時20分鐘
63P,140.119.163.193,103703001,00FEC21CF2,07-Jan-15 10:44:07,07-Jan-15 10:48:50,   0小時04分鐘
07W,140.119.49.34,103255002,00B663260D,07-Jan-15 10:44:08,07-Jan-15 10:50:34,   0小時06分鐘
04V,140.119.72.61,103861010,00C689B30B,07-Jan-15 10:44:17,07-Jan-15 10:48:01,   0小時03分鐘
01W,140.119.49.108,101304047,0020A36D3E,07-Jan-15 10:44:18,07-Jan-15 11:38:15,   0小時54分鐘
13A,140.119.26.13,100303013,00AB53C7B3,07-Jan-15 10:44:48,07-Jan-15 10:53:58,   0小時09分鐘
14V,140.119.72.49,103302057,00C601B30B,07-Jan-15 10:46:26,07-Jan-15 12:53:23,   2小時07分鐘
37R,140.119.129.91,102305043,0090F2EB77,07-Jan-15 10:47:02,07-Jan-15 10:51:57,   0小時04分鐘
63B,140.119.41.163,100204025,00E0A67578,07-Jan-15 10:48:14,07-Jan-15 12:23:34,   1小時35分鐘
51P,140.119.163.181,103703001,00FEC21CF2,07-Jan-15 10:48:53,07-Jan-15 11:08:18,   0小時19分鐘
27R,140.119.129.81,103601215,000BB38437,07-Jan-15 10:50:12,07-Jan-15 13:08:55,   2小時18分鐘
31R,140.119.129.85,99305067,0063AC51E9,07-Jan-15 10:50:18,07-Jan-15 11:37:45,   0小時47分鐘
04R,140.119.129.58,101306076,00462D240D,07-Jan-15 10:51:28,07-Jan-15 12:12:50,   1小時21分鐘
65C,140.119.27.65,102404004,0070C59064,07-Jan-15 10:51:34,07-Jan-15 10:54:42,   0小時03分鐘
39R,140.119.129.93,102601088,00A0CCE177,07-Jan-15 10:51:53,07-Jan-15 12:05:09,   1小時13分鐘
38R,140.119.129.92,102305043,0090F2EB77,07-Jan-15 10:52:04,07-Jan-15 10:55:01,   0小時03分鐘
03W,140.119.49.38,101104030,0050369266,07-Jan-15 10:52:39,07-Jan-15 11:45:29,   0小時52分鐘
07R,140.119.129.61,103601137,00966D240D,07-Jan-15 10:53:11,07-Jan-15 11:01:14,   0小時07分鐘
12V,140.119.72.57,103308014,002614650C,07-Jan-15 10:53:14,07-Jan-15 11:44:43,   0小時51分鐘
41N,140.119.55.213,103207443,00769D240D,07-Jan-15 10:53:31,07-Jan-15 20:33:12,   9小時39分鐘
05W,140.119.49.36,103651057,0060F73350,07-Jan-15 10:54:32,07-Jan-15 11:03:38,   0小時09分鐘
23R,140.119.129.77,103652010,0036E88B0C,07-Jan-15 10:54:55,07-Jan-15 11:50:07,   0小時55分鐘
15B,140.119.41.115,102404004,0070C59064,07-Jan-15 10:54:58,07-Jan-15 12:03:11,   1小時08分鐘
18R,140.119.129.72,102305043,0090F2EB77,07-Jan-15 10:55:05,07-Jan-15 12:22:45,   1小時27分鐘
08W,140.119.49.31,102202051,00409A4735,07-Jan-15 10:55:09,07-Jan-15 11:33:51,   0小時39分鐘
66N,140.119.55.239,103207442,0096868C0C,07-Jan-15 10:55:27,07-Jan-15 12:13:17,   1小時18分鐘
32N,140.119.55.204,103207422,009600230D,07-Jan-15 10:55:42,07-Jan-15 12:10:31,   1小時15分鐘
38B,140.119.41.138,100265501,009B62C6B3,07-Jan-15 10:56:09,07-Jan-15 11:35:46,   0小時39分鐘
25R,140.119.129.79,100205076,0090355935,07-Jan-15 10:56:38,07-Jan-15 12:04:42,   1小時07分鐘
16R,140.119.129.65,103308050,00D677B30B,07-Jan-15 10:57:02,07-Jan-15 11:33:38,   0小時36分鐘
07W,140.119.49.34,101601174,0070EDE277,07-Jan-15 10:57:52,07-Jan-15 11:08:47,   0小時10分鐘
08R,140.119.129.62,101208059,00405CB248,07-Jan-15 10:57:52,07-Jan-15 12:05:00,   1小時07分鐘
09W,140.119.49.32,100651011,00BBC6F1B0,07-Jan-15 10:58:15,07-Jan-15 11:30:28,   0小時32分鐘
62B,140.119.41.162,102506011,0080ABEC77,07-Jan-15 10:59:59,07-Jan-15 11:47:49,   0小時48分鐘
06W,140.119.49.35,101208077,00B08B8378,07-Jan-15 11:02:13,07-Jan-15 11:20:59,   0小時18分鐘
13Y,140.119.66.13,100701026,00F0DB0579,07-Jan-15 11:02:33,07-Jan-15 17:04:44,   6小時02分鐘
01A,140.119.26.1,102206005,00B001E277,07-Jan-15 11:02:34,07-Jan-15 11:37:03,   0小時34分鐘
32R,140.119.129.86,102205068,0056D38C0C,07-Jan-15 11:03:54,07-Jan-15 11:11:22,   0小時07分鐘
67N,140.119.55.240,103207439,00F6828C0C,07-Jan-15 11:04:11,07-Jan-15 12:13:10,   1小時09分鐘
36R,140.119.129.90,103101087,00F6E4E00E,07-Jan-15 11:04:13,07-Jan-15 11:44:43,   0小時40分鐘
37R,140.119.129.91,103101061,00F657B30B,07-Jan-15 11:04:18,07-Jan-15 13:03:29,   1小時59分鐘
02V,140.119.72.60,100307004,00204E7C31,07-Jan-15 11:05:09,07-Jan-15 12:10:33,   1小時05分鐘
50P,140.119.163.180,102703043,001088E277,07-Jan-15 11:05:49,07-Jan-15 11:08:18,   0小時02分鐘
11V,140.119.72.55,101451501,006B1AF2B0,07-Jan-15 11:06:00,07-Jan-15 13:50:24,   2小時44分鐘
22R,140.119.129.76,100104009,007B90CBB3,07-Jan-15 11:06:06,07-Jan-15 12:31:02,   1小時25分鐘
46N,140.119.55.218,103207415,00F67B4711,07-Jan-15 11:06:25,07-Jan-15 12:07:50,   1小時01分鐘
14W,140.119.49.,101601183,00A6F6220D,07-Jan-15 11:06:32,07-Jan-15 11:32:24,   0小時25分鐘
54B,140.119.41.154,102208035,0000C27578,07-Jan-15 11:07:43,07-Jan-15 11:27:42,   0小時19分鐘
01R,140.119.129.67,99401038,00F634B30B,07-Jan-15 11:08:07,07-Jan-15 11:08:15,   0小時00分鐘
24R,140.119.129.78,99401038,00F634B30B,07-Jan-15 11:08:20,07-Jan-15 11:11:06,   0小時03分鐘
04V,140.119.72.61,103861010,00C689B30B,07-Jan-15 11:08:57,07-Jan-15 11:22:13,   0小時13分鐘
05W,140.119.49.36,102601128,00BB09988A,07-Jan-15 11:08:58,07-Jan-15 11:17:25,   0小時08分鐘
65P,140.119.163.195,101703031,0016C48C0C,07-Jan-15 11:09:30,07-Jan-15 11:24:22,   0小時15分鐘
08I,140.119.187.108,101403007,0040A6E277,07-Jan-15 11:09:43,07-Jan-15 11:15:40,   0小時06分鐘
07P,140.119.163.137,102703040,0070066E77,07-Jan-15 11:09:48,07-Jan-15 11:24:22,   0小時14分鐘
51P,140.119.163.181,103703001,00FEC21CF2,07-Jan-15 11:09:54,07-Jan-15 11:24:22,   0小時14分鐘
34N,140.119.55.206,103207408,00D671B00C,07-Jan-15 11:10:00,07-Jan-15 12:06:11,   0小時56分鐘
65C,140.119.27.65,101204004,0020FA9C48,07-Jan-15 11:10:00,07-Jan-15 11:13:02,   0小時03分鐘
12W,140.119.49.155,101204035,0030066D3E,07-Jan-15 11:10:06,07-Jan-15 11:10:25,   0小時00分鐘
50P,140.119.163.180,102703043,001088E277,07-Jan-15 11:11:09,07-Jan-15 11:24:22,   0小時13分鐘
53N,140.119.55.226,103207433,0066F7640C,07-Jan-15 11:11:23,07-Jan-15 13:52:54,   2小時41分鐘
42N,140.119.55.214,102104004,0090466E77,07-Jan-15 11:11:44,07-Jan-15 20:33:11,   9小時21分鐘
58C,140.119.27.58,100101036,00B0AD2D7A,07-Jan-15 11:11:50,07-Jan-15 11:14:08,   0小時02分鐘
61Y,140.119.66.61,101701029,00D05CB248,07-Jan-15 11:11:56,07-Jan-15 11:23:22,   0小時11分鐘
25N,140.119.55.243,103207414,007629680C,07-Jan-15 11:12:03,07-Jan-15 13:09:28,   1小時57分鐘
43N,140.119.55.215,103207416,00B62B6008,07-Jan-15 11:12:11,07-Jan-15 12:13:10,   1小時01分鐘
05R,140.119.129.59,102301026,00600BEB77,07-Jan-15 11:12:31,07-Jan-15 11:23:17,   0小時10分鐘
07I,140.119.187.107,102404010,00A659B20B,07-Jan-15 11:13:14,07-Jan-15 11:15:18,   0小時01分鐘
12W,140.119.49.155,102403014,0010329264,07-Jan-15 11:13:33,07-Jan-15 13:38:08,   2小時24分鐘
35B,140.119.41.135,100101036,00B0AD2D7A,07-Jan-15 11:14:35,07-Jan-15 11:59:12,   0小時44分鐘
44I,140.119.187.144,102461006,0010744E79,07-Jan-15 11:14:59,07-Jan-15 12:13:22,   0小時58分鐘
14C,140.119.27.14,100261009,007BFBC7B3,07-Jan-15 11:15:11,07-Jan-15 12:32:18,   1小時17分鐘
15R,140.119.129.64,103601214,00BB988437,07-Jan-15 11:15:20,07-Jan-15 12:16:37,   1小時01分鐘
24C,140.119.27.24,101304030,0010BF693E,07-Jan-15 11:15:25,07-Jan-15 12:58:40,   1小時43分鐘
07I,140.119.187.107,101403007,0040A6E277,07-Jan-15 11:15:43,07-Jan-15 11:50:39,   0小時34分鐘
08I,140.119.187.108,102404010,00A659B20B,07-Jan-15 11:16:06,07-Jan-15 11:23:18,   0小時07分鐘
25Y,140.119.66.25,102701048,0063BA49E3,07-Jan-15 11:17:14,07-Jan-15 12:00:13,   0小時43分鐘
